"Node_ID","Parent_Option","Project","Required_Context","Creation Date","Modified Date","Slug"
"Elevation 1 Front Garage_Top floor_Concrete_mtl #0_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 Front Garage_Concrete_mtl #0_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 Side Garage_Concrete_mtl #0_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 Side Garage_Top floor_Concrete_mtl #0_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Side Garage_Material #43_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Front Garage_Material #43_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Roof_Brown Roof_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Front Garage_Top floor_Material #43_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 roof__0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 Front Garage_Concrete_mtl #0_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Front Garage_Material #43_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 Front Garage_Top floor_Concrete_mtl #0_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 roof__0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Front Garage_Top floor_Material #43_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Roof_Brown Roof_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 2 Roof_Brown Roof_0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation 1 roof__0","","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Front  Load Aspen Chase_Aspen Chase Single Bricks_0","Aspen Chase","The Cypress","Front Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 2 Aspen Chase_Aspen Chase Brick_0","Aspen Chase","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Aspen Chase_Aspen Chase Single Bricks_0","Aspen Chase","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 2 Aspen Chase_Aspen Chase Single Bricks_0","Aspen Chase","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Market Square_Market Square Brick_0","Market Square","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Front  Load Market Square_Market Square Single Bricks_0","Market Square","The Cypress","Front Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 2 Market Square_Market Square Single Bricks_0","Market Square","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Front  Load Market Square_Market Square Brick_0","Market Square","The Cypress","Front Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 2 Market Square_Market Square Brick_0","Market Square","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 1_Color 1 - Snowbound SW 7004_0","Snowbound SW 7004","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 1_Window and Door Glass_0","Snowbound SW 7004","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 2_Color 2 - Iron Ore SW 7069_0","Iron Ore SW 7069","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 2_Window and Door Glass_0","Iron Ore SW 7069","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Siding Color 3_Siding Color 3_0","Agreeable Gray SW7029","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Siding Color 2_Siding Color 2_0","Iron Ore SW 7069","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Siding Color 1_Siding Color 1_0","Snowbound SW 7004","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Side Level 2 Siding Color 1_Siding Color 1_0","Snowbound SW 7004","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Trim Color 1_Color 1 - Snowbound SW 7004_0","Snowbound SW 7004","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Front Load Garage Trim Color 1_Color 1 - Snowbound SW 7004_0","Snowbound SW 7004","The Cypress","Front Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Garage Trim Color 1_Color 1 - Snowbound SW 7004_0","Snowbound SW 7004","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Front Load Garage Trim Color 2_Color 2 - Iron Ore SW 7069_0","Iron Ore SW 7069","The Cypress","Front Load","Feb 6, 2026 4:12 am","Feb 7, 2026 6:25 am",""
"Level 1 Side Load Garage Trim Color 2_Color 2 - Iron Ore SW 7069_0","Iron Ore SW 7069","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Trim Color 2_Color 2 - Iron Ore SW 7069_0","Iron Ore SW 7069","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Front Load Garage Trim Color 3_Color 3_0","Agreeable Gray SW7029","The Cypress","Front Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Trim Color 3_Color 3_0","Agreeable Gray SW7029","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Garage Trim Color 3_Color 3_0","Agreeable Gray SW7029","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Window Trim Color 1_Color 1 - Snowbound SW 7004_0","Snowbound SW 7004","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Windows Trim Color 1_Color 1 - Snowbound SW 7004_0","Snowbound SW 7004","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Window Trim Color 2_Color 2 - Iron Ore SW 7069_0","Iron Ore SW 7069","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Windows Trim Color 2_Color 2 - Iron Ore SW 7069_0","Iron Ore SW 7069","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Side Load Window Trim Color 3_Color 3_0","Agreeable Gray SW7029","The Cypress","Side Load","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Windows Trim Color 3_Color 3_0","Agreeable Gray SW7029","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Roof Black_Black Roof Shingles_0","Front Load","The Cypress","Black Shingles","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Roof Brown_Brown Roof Shingles_0","Front Load","The Cypress","Brown Shingles","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Side Level 2 Siding Color 2_Siding Color 2_0","Front Load","The Cypress","Iron Ore SW 7069","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Side Level 2 Siding Color 3_Siding Color 3_0","Front Load","The Cypress","Agreeable Gray SW7029","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Trim Level 2 Color 1_Color 1 - Snowbound SW 7004_0","Front Load","The Cypress","Snowbound SW 7004","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Elevation C Trim Level 2 Color 2_Color 2 - Iron Ore SW 7069_0","Front Load","The Cypress","Iron Ore SW 7069","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 1_Chrome_0","Front Load","The Cypress","Snowbound SW 7004","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 2_Chrome_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 1_Color 1 - Snowbound SW 7004_0","Front Load","The Cypress","Snowbound SW 7004","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 2_Color 2 - Iron Ore SW 7069_0","Front Load","The Cypress","Iron Ore SW 7069","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Door Color 2_Window and Door Glass_0","Front Load","The Cypress","Iron Ore SW 7069","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Doors_Door_mtl #0_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Doors_Glass_2_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_*14_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_*13_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Doors_Material #644_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Beadboard_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Color M06_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Color_3_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Color_009_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Empty material_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Gold_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
"Level 1 Fitting_Glass_2_0","Front Load","The Cypress","","Feb 6, 2026 4:12 am","Feb 6, 2026 4:12 am",""
