"Camera_Override","Default_Option","Is_Mandatory","Name","Organization","Builder_Owner","Phase"
"-17.742749841275597,-20.008850886639234,7.762780396309205|1.8718678292496858,0.5583410021614476,2.709540645732296","Brown Shingles","yes","Shingles Type","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"-3.694681077015761,2.96750193164084,2.33531551020125|2.284212856359959,2.0878927073265623,0.47273814955644294","Oak","yes","Flooring","Meridian Premier Homes","1766467404981x924124932543654700","Interior"
"","Snowbound SW 7004","yes","Siding","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"","Aspen Chase","yes","Brick Type","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"","Front Load","yes","Garage Type","Meridian Premier Homes","1766467404981x924124932543654700","Blueprint"
"-3.503745261800197,-14.886681697703066,1.988428256326742|-1.8532722830874608,0.7372991323489455,0.31881682243820164","Snowbound SW 7004","yes","Porch Post","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"","Snowbound SW 7004","yes","Trim","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"-0.5281641576233336,-15.15832021964867,2.321418863366252|0.9525087907152392,2.2273441909716083,0.7632279054679051","Snowbound SW 7004","yes","Window Trim","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"-3.563014262081456,-19.07398316165377,2.6385062460350044|-1.729814423519384,2.450957390954807,0.7093324769907934","Snowbound SW 7004","yes","Front Door Color","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"5.606771037591672,-28.57022108634453,4.991484157856156|4.427135510665736,0.05040652082897891,1.6561093094630595","Snowbound SW 7004","yes","Shutter Color","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"18.455153853557277,-23.078422856791782,2.3358853640127286|0.7912994239432114,-0.28343006660098935,2.153840400513751","Snowbound SW 7004","yes","Garage Door","Meridian Premier Homes","1766467404981x924124932543654700","Exterior"
"-3.5259667113198363,4.905419120940296,2.098463955678108|2.4008265162441598,1.3119432208131478,1.1939648119084927","Option 1","yes","Kitchen","Meridian Premier Homes","1766467404981x924124932543654700","Interior"
